	text	labels	title
0	"Nie zabrudź mi samochodu.
A uchwyt na kubek?
Nie ma.
I ty dałeś za ten szmelc
80.000 dolarów?
Dałem 105.000.
To najszybszy wóz na świecie."	0	Bad Boys
1	"Stówa w 4 sekundy.
- Rzadka rzecz.
- Rzeczywiście!
Bez tylnego siedzenia.
Lśniący, dwuosobowy fiut!
A my to dyndające jaja."	0	Bad Boys
2	"Cholera!
Przepraszam.
Zbieraj to.
Nie sięgnę.
Dzwoń po inżyniera.
Za ciasno tu."	0	Bad Boys
3	"Dalej!
Ruszaj dupką.
Mają cię pragnąć.
Nie sprzątnę po tobie.
Nie włożę tam ręki,
bo jej później nie wyciągnę.
I założą mi hak."	0	Bad Boys
4	"Podnoś frytkę.
To nie Denny's!
Nie jadam u nich.
Okropna obsługa.
Łyknęli haczyk. Dowalimy im!
Nie chodzi ci o frytkę,
tylko o nią."	0	Bad Boys
5	"- Wysiadać.
- Cholera!
- Co jest?!
- Mieliśmy dobry tydzień.
Więc, wysiadać.
Cholera!
Ważysz ze 180 kg?
Wpieprzasz tony kurczaków?"	0	Bad Boys
6	"- Wyłaź!
- Zawsze trafiam na gigantów!
- Wyłaź z tego samochodu, teraz!
- Dobra!
Chwila!
Zabawne, ale chyba macie dziś pecha.
Jesteśmy z policji."	0	Bad Boys
7	"A ja jestem komikiem.
I to kiepskim! Dawaj furę!
Ja nie Wesley Snipes.
Mam tylko kretyńskich kumpli,
którzy jeżdżą...
szpanerskimi wozami!"	0	Bad Boys
8	"Zaraz tam przeskoczę
i dam ci w ryj!
- Robisz aferę o frytkę!
- Nieprawda.
Nie szanujesz cudzych rzeczy!
- Zaraz!
- Cicho!
To głupota!
Czekajcie!"	0	Bad Boys
9	"Chcesz w pysk, to chodź!
Podoba ci się?
Wesley Snipes, ""Pasażer 57"".
A teraz podaj ścierkę.
Teraz powiedz żarcik!
MIAMI"	0	Bad Boys
10	"- Wyglądam jak gliniarz?
- Pamiętasz wszystko?
Jestem przynętą.
Tak.
Co robisz?!
Policja?
Właśnie, zabito policjanta..."	0	Bad Boys
